Graph,Sampling Criterion,μ,Sample Size,log MSE,log MSE bound
0,MMSE,0.0001,1,2.7447672,7.202169780905848
0,MMSE,0.0001,2,2.2581806,6.55794543015084
0,MMSE,0.0001,3,1.9123082,6.1952433611998226
0,MMSE,0.0001,4,2.0191286,5.9461307094583535
0,MMSE,0.0001,5,2.0104318,5.763419113390239
0,MMSE,0.0001,6,2.0677023,5.6219383421490425
0,MMSE,0.0001,7,2.137278,5.50839582405478
0,MMSE,0.0001,8,2.1922526,5.414997611397704
0,MMSE,0.0001,9,2.2465506,5.336452794685959
0,MMSE,0.0001,10,2.2081208,5.27004048266107
0,MMSE,0.0001,11,2.1684773,5.213659408886413
0,MMSE,0.0001,12,2.1644516,5.165366987503932
0,MMSE,0.0001,13,2.1729176,5.123843415403037
0,MMSE,0.0001,14,2.1966999,5.087896576570607
0,MMSE,0.0001,15,2.1808841,5.056764592497161
0,MMSE,0.0001,16,2.1961813,5.029776652409048
0,MMSE,0.0001,17,2.2002566,5.006373403691892
0,MMSE,0.0001,18,2.2023463,4.986112142549176
0,MMSE,0.0001,19,2.2586617,4.96858715233153
0,MMSE,0.0001,20,2.2841825,4.953491776790597
0,MMSE,0.0001,21,2.2910953,4.940553323976718
0,MMSE,0.0001,22,2.316088,4.92953382096618
0,MMSE,0.0001,23,2.3279014,4.92022570568151
0,MMSE,0.0001,24,2.3293014,4.912447593944658
0,MMSE,0.0001,25,2.3644583,4.906040637420005
0,MMSE,0.0001,26,2.397412,4.90086416779469
0,MMSE,0.0001,27,2.412955,4.896791201793032
0,MMSE,0.0001,28,2.4385319,4.893703035024036
0,MMSE,0.0001,29,2.4509048,4.891475379388455
0,MMSE,0.0001,30,2.4851224,4.8900361847695235
0,MMSE,0.0001,31,2.4869902,4.889277649145968
0,MMSE,0.0001,32,2.524767,4.889121003611053
0,MMSE,0.0001,33,2.5373297,4.889475463024028
0,MMSE,0.0001,34,2.5525916,4.890155210983431
0,MMSE,0.0001,35,2.574075,4.891243380716723
0,MMSE,0.0001,36,2.5979223,4.892596703787214
0,MMSE,0.0001,37,2.6299582,4.894349878625113
0,MMSE,0.0001,38,2.6341288,4.895900364903818
0,MMSE,0.0001,39,2.6610038,4.8957971495512425
0,MMSE,0.0001,40,2.6761646,4.893966874832818
0,MMSE,0.0001,41,2.6918678,4.8896878394266166
0,MMSE,0.0001,42,2.7139854,4.882682086873144
0,MMSE,0.0001,43,2.7279794,4.875187710379472
0,MMSE,0.0001,44,2.7437966,4.838597760674821
0,MMSE,0.0001,45,2.7812731,4.678368560610405
0,MMSE,0.01,1,2.7726853,7.202169780905848
0,MMSE,0.01,2,2.2434602,6.55794543015084
0,MMSE,0.01,3,1.9642478,6.1952433611998226
0,MMSE,0.01,4,2.0368955,5.9461307094583535
0,MMSE,0.01,5,1.9554538,5.763419113390239
0,MMSE,0.01,6,1.9870435,5.6219383421490425
0,MMSE,0.01,7,2.0797036,5.50839582405478
0,MMSE,0.01,8,2.1726973,5.414997611397704
0,MMSE,0.01,9,2.2127576,5.336452794685959
0,MMSE,0.01,10,2.1698627,5.27004048266107
0,MMSE,0.01,11,2.1664624,5.213659408886413
0,MMSE,0.01,12,2.155445,5.165366987503932
0,MMSE,0.01,13,2.1167285,5.123843415403037
0,MMSE,0.01,14,2.1397755,5.087896576570607
0,MMSE,0.01,15,2.1690617,5.056764592497161
0,MMSE,0.01,16,2.2040195,5.029776652409048
0,MMSE,0.01,17,2.1889012,5.006373403691892
0,MMSE,0.01,18,2.1822464,4.986112142549176
0,MMSE,0.01,19,2.1959097,4.96858715233153
0,MMSE,0.01,20,2.222325,4.953491776790597
0,MMSE,0.01,21,2.2269607,4.940553323976718
0,MMSE,0.01,22,2.2578254,4.92953382096618
0,MMSE,0.01,23,2.2851663,4.92022570568151
0,MMSE,0.01,24,2.3180277,4.912447593944658
0,MMSE,0.01,25,2.2937703,4.906040637420005
0,MMSE,0.01,26,2.3384476,4.90086416779469
0,MMSE,0.01,27,2.369602,4.896791201793032
0,MMSE,0.01,28,2.3850584,4.893703035024036
0,MMSE,0.01,29,2.4059446,4.891475379388455
0,MMSE,0.01,30,2.4333768,4.8900361847695235
0,MMSE,0.01,31,2.44642,4.889277649145968
0,MMSE,0.01,32,2.4689884,4.889121003611053
0,MMSE,0.01,33,2.4744802,4.889475463024028
0,MMSE,0.01,34,2.4952886,4.890155210983431
0,MMSE,0.01,35,2.5290182,4.891243380716723
0,MMSE,0.01,36,2.5487053,4.892596703787214
0,MMSE,0.01,37,2.5736768,4.894349878625113
0,MMSE,0.01,38,2.567241,4.895900364903818
0,MMSE,0.01,39,2.6007504,4.8957971495512425
0,MMSE,0.01,40,2.6112099,4.893966874832818
0,MMSE,0.01,41,2.6403823,4.8896878394266166
0,MMSE,0.01,42,2.6459234,4.882682086873144
0,MMSE,0.01,43,2.669561,4.875187710379472
0,MMSE,0.01,44,2.6812792,4.838597760674821
0,MMSE,0.01,45,2.7122827,4.678368560610405
0,MMSE,1.0,1,2.7916112,7.202169780905848
0,MMSE,1.0,2,2.2519374,6.55794543015084
0,MMSE,1.0,3,1.874244,6.1952433611998226
0,MMSE,1.0,4,1.6372783,5.9461307094583535
0,MMSE,1.0,5,1.5573242,5.763419113390239
0,MMSE,1.0,6,1.6297549,5.6219383421490425
0,MMSE,1.0,7,1.47101,5.50839582405478
0,MMSE,1.0,8,1.437442,5.414997611397704
0,MMSE,1.0,9,1.375619,5.336452794685959
0,MMSE,1.0,10,1.3666869,5.27004048266107
0,MMSE,1.0,11,1.3361914,5.213659408886413
0,MMSE,1.0,12,1.2805265,5.165366987503932
0,MMSE,1.0,13,1.2659088,5.123843415403037
0,MMSE,1.0,14,1.2223929,5.087896576570607
0,MMSE,1.0,15,1.1941555,5.056764592497161
0,MMSE,1.0,16,1.2123212,5.029776652409048
0,MMSE,1.0,17,1.1446716,5.006373403691892
0,MMSE,1.0,18,1.1566553,4.986112142549176
0,MMSE,1.0,19,1.1372601,4.96858715233153
0,MMSE,1.0,20,1.1479158,4.953491776790597
0,MMSE,1.0,21,1.1038512,4.940553323976718
0,MMSE,1.0,22,1.0789775,4.92953382096618
0,MMSE,1.0,23,1.0556,4.92022570568151
0,MMSE,1.0,24,1.056115,4.912447593944658
0,MMSE,1.0,25,1.0253309,4.906040637420005
0,MMSE,1.0,26,0.9952018,4.90086416779469
0,MMSE,1.0,27,1.0131313,4.896791201793032
0,MMSE,1.0,28,0.9769123,4.893703035024036
0,MMSE,1.0,29,0.9679449,4.891475379388455
0,MMSE,1.0,30,0.94719714,4.8900361847695235
0,MMSE,1.0,31,0.94525605,4.889277649145968
0,MMSE,1.0,32,0.9470498,4.889121003611053
0,MMSE,1.0,33,0.9406403,4.889475463024028
0,MMSE,1.0,34,0.91367215,4.890155210983431
0,MMSE,1.0,35,0.8978709,4.891243380716723
0,MMSE,1.0,36,0.9202923,4.892596703787214
0,MMSE,1.0,37,0.8896467,4.894349878625113
0,MMSE,1.0,38,0.89660835,4.895900364903818
0,MMSE,1.0,39,0.9120839,4.8957971495512425
