Graph,Sampling Criterion,μ,Sample Size,log MSE,log MSE bound
0,MMSE,0.0001,1,-2.742515,6.1186868243838255
0,MMSE,0.0001,2,-3.6327143,5.485008306115363
0,MMSE,0.0001,3,-3.7950952,5.129539083088365
0,MMSE,0.0001,4,-4.98935,4.889206583600273
0,MMSE,0.0001,5,-5.415992,4.714486374345618
0,MMSE,0.0001,6,-5.4907055,4.581654941482811
0,MMSE,0.0001,7,-5.708431,4.477910377896217
0,MMSE,0.0001,8,-5.890777,4.395453810916478
0,MMSE,0.0001,9,-6.1833572,4.329196035358266
0,MMSE,0.0001,10,-6.402893,4.275620069530404
0,MMSE,0.0001,11,-7.174451,4.232187900536923
0,MMSE,0.0001,12,-7.5051837,4.197005351802112
0,MMSE,0.0001,13,-7.7780027,4.168620485309964
0,MMSE,0.0001,14,-7.865368,4.145896266530034
0,MMSE,0.0001,15,-8.016172,4.127926552970355
0,MMSE,0.0001,16,-8.060842,4.113978588162381
0,MMSE,0.0001,17,-8.217439,4.103452808670709
0,MMSE,0.0001,18,-8.311919,4.095853435560788
0,MMSE,0.0001,19,-8.617269,4.090766911156284
0,MMSE,0.0001,20,-8.692086,4.087845746435722
0,MMSE,0.0001,21,-8.861734,4.086796016290055
0,MMSE,0.0001,22,-8.929414,4.0873676980825655
0,MMSE,0.0001,23,-9.0216675,4.089346986449379
0,MMSE,0.0001,24,-9.344163,4.09255024127975
0,MMSE,0.0001,25,-9.644411,4.096819117732434
0,MMSE,0.0001,26,-9.854775,4.102016595329956
0,MMSE,0.0001,27,-9.908628,4.108023615774391
0,MMSE,0.0001,28,-9.94921,4.11473659387946
0,MMSE,0.0001,29,-10.0898905,4.122064944917152
0,MMSE,0.0001,30,-10.195103,4.129929513389915
0,MMSE,0.0001,31,-10.311654,4.13826065555788
0,MMSE,0.0001,32,-10.5195465,4.146997331152573
0,MMSE,0.0001,33,-10.693106,4.156085623018464
0,MMSE,0.0001,34,-10.7735815,4.1654779925893255
0,MMSE,0.0001,35,-11.033468,4.175132444668677
0,MMSE,0.0001,36,-11.552382,4.185011765088338
0,MMSE,0.0001,37,-11.608598,4.1950829802118355
0,MMSE,0.0001,38,-11.8157425,4.205316837606633
0,MMSE,0.0001,39,-12.028589,4.215687330219224
0,MMSE,0.0001,40,-12.316061,4.226171352483969
0,MMSE,0.0001,41,-12.520566,4.2367483119844005
0,MMSE,0.0001,42,-13.55421,4.24739992278972
0,MMSE,0.0001,43,-13.768829,4.258109835109234
0,MMSE,0.0001,44,-14.08038,4.268863479289035
0,MMSE,0.0001,45,-20.933023,4.279647897215819
0,MMSE,0.01,1,-2.7425508,6.1186868243838255
0,MMSE,0.01,2,-3.6259346,5.485008306115363
0,MMSE,0.01,3,-3.7944386,5.129539083088365
0,MMSE,0.01,4,-4.978889,4.889206583600273
0,MMSE,0.01,5,-5.3995833,4.714486374345618
0,MMSE,0.01,6,-5.4700522,4.581654941482811
0,MMSE,0.01,7,-5.6831794,4.477910377896217
0,MMSE,0.01,8,-5.8607297,4.395453810916478
0,MMSE,0.01,9,-6.144999,4.329196035358266
0,MMSE,0.01,10,-6.358014,4.275620069530404
0,MMSE,0.01,11,-7.11352,4.232187900536923
0,MMSE,0.01,12,-7.448615,4.197005351802112
0,MMSE,0.01,13,-7.720058,4.168620485309964
0,MMSE,0.01,14,-7.8082595,4.145896266530034
0,MMSE,0.01,15,-7.9574246,4.127926552970355
0,MMSE,0.01,16,-8.001751,4.113978588162381
0,MMSE,0.01,17,-8.081249,4.103452808670709
0,MMSE,0.01,18,-8.247035,4.095853435560788
0,MMSE,0.01,19,-8.545111,4.090766911156284
0,MMSE,0.01,20,-8.618246,4.087845746435722
0,MMSE,0.01,21,-8.785964,4.086796016290055
0,MMSE,0.01,22,-8.850796,4.0873676980825655
0,MMSE,0.01,23,-8.941725,4.089346986449379
0,MMSE,0.01,24,-9.26458,4.09255024127975
0,MMSE,0.01,25,-9.416581,4.096819117732434
0,MMSE,0.01,26,-9.769526,4.102016595329956
0,MMSE,0.01,27,-9.827301,4.108023615774391
0,MMSE,0.01,28,-9.868928,4.11473659387946
0,MMSE,0.01,29,-10.011468,4.122064944917152
0,MMSE,0.01,30,-10.11478,4.129929513389915
0,MMSE,0.01,31,-10.2295265,4.13826065555788
0,MMSE,0.01,32,-10.429607,4.146997331152573
0,MMSE,0.01,33,-10.59506,4.156085623018464
0,MMSE,0.01,34,-10.671613,4.1654779925893255
0,MMSE,0.01,35,-11.042857,4.175132444668677
0,MMSE,0.01,36,-11.44885,4.185011765088338
0,MMSE,0.01,37,-11.504919,4.1950829802118355
0,MMSE,0.01,38,-11.705287,4.205316837606633
