index,# Vertices,μ,τ_GLR,graph_id
0,500,1e-06,0.4860677855109125,0
1,500,1.2589254e-06,0.48595731207746024,0
2,500,1.5848932e-06,0.48581836470166434,0
3,500,1.9952622e-06,0.4856434953331312,0
4,500,2.5118864e-06,0.4854234696174866,0
5,500,3.1622776e-06,0.4851467158062451,0
6,500,3.9810716e-06,0.48479864504299097,0
7,500,5.0118724e-06,0.4843610387837671,0
8,500,6.3095736e-06,0.48381101659208076,0
9,500,7.943282e-06,0.4831199116171139,0
10,500,1e-05,0.4822520892308729,0
11,500,1.2589254e-05,0.4811630950344271,0
12,500,1.5848931e-05,0.47979749699161484,0
13,500,1.9952624e-05,0.478086952878687,0
14,500,2.5118865e-05,0.47594702048487514,0
15,500,3.1622778e-05,0.47327419629758694,0
16,500,3.981072e-05,0.4699424645475081,0
17,500,5.0118724e-05,0.46579981557214706,0
18,500,6.309574e-05,0.4606647478933472,0
19,500,7.943282e-05,0.4543241006795672,0
20,500,1e-04,0.4465320152762525,0
21,500,0.00012589255,0.43701227444137847,0
22,500,0.00015848932,0.42546484711446086,0
23,500,0.00019952623,0.4115793844618765,0
24,500,0.00025118864,0.3950568565581533,0
25,500,0.00031622776,0.3756412756737905,0
26,500,0.00039810716,0.35316056765215376,0
27,500,0.0005011872,0.32757415175621957,0
28,500,0.00063095737,0.2990197124001352,0
29,500,0.0007943282,0.26784903646309166,0
30,500,0.001,0.23463940077522172,0
31,500,0.0012589254,0.20017122755949054,0
32,500,0.0015848932,0.1653668426040013,0
33,500,0.0019952622,0.13119924187931642,0
34,500,0.0025118864,0.09858801550441604,0
35,500,0.0031622776,0.06830475479224667,0
36,500,0.0039810715,0.04090812233103414,0
37,500,0.0050118724,0.01671798234748155,0
38,500,0.0063095735,-0.004173424057577266,0
39,500,0.007943282,-0.021863300032933724,0
40,500,0.01,-0.036586491702945347,0
41,500,0.012589254,-0.04866216469232304,0
42,500,0.015848933,-0.05844709813999871,0
43,500,0.019952623,-0.06629961140543777,0
44,500,0.025118865,-0.0725551628506034,0
45,500,0.031622775,-0.07751228876007807,0
46,500,0.039810717,-0.08142679421059822,0
47,500,0.050118722,-0.08451167323008676,0
48,500,0.06309573,-0.08694054930328332,0
49,500,0.07943282,-0.08885269735287465,0
50,500,0.1,-0.09035867006140827,0
51,500,0.12589253,-0.09154565967804759,0
52,500,0.15848932,-0.09248205133332144,0
53,500,0.19952624,-0.09322145104663462,0
54,500,0.25118864,-0.09380582634318414,0
55,500,0.31622776,-0.09426806709023565,0
56,500,0.39810717,-0.09463397810685835,0
