# Vertices,μ,τ_GLR
367,1e-06,0.07314028277082447
367,1.2589254e-06,0.0731381965441275
367,1.5848932e-06,0.07313556870095532
367,1.9952622e-06,0.07313223876240905
367,2.5118864e-06,0.07312810642923012
367,3.1622776e-06,0.07312287080352566
367,3.9810716e-06,0.07311627110725556
367,5.0118724e-06,0.07310796632305648
367,6.3095736e-06,0.07309751513454839
367,7.943282e-06,0.07308435586651897
367,1e-05,0.07306780648532153
367,1.2589254e-05,0.07304696429989646
367,1.5848931e-05,0.07302074608226049
367,1.9952624e-05,0.07298772758939416
367,2.5118865e-05,0.07294620374504364
367,3.1622778e-05,0.07289388774421159
367,3.981072e-05,0.07282809159614655
367,5.0118724e-05,0.07274528481431373
367,6.309574e-05,0.07264113454697387
367,7.943282e-05,0.07251006427706723
367,1e-04,0.07234531402790625
367,0.00012589255,0.07213815807110749
367,0.00015848932,0.07187780469173168
367,0.00019952623,0.07155073431177246
367,0.00025118864,0.07114005772935598
367,0.00031622776,0.07062483431935733
367,0.00039810716,0.06997890891395289
367,0.0005011872,0.06917006980707525
367,0.00063095737,0.0681586653920566
367,0.0007943282,0.06689596030582846
367,0.001,0.06532291319124471
367,0.0012589254,0.06336853353517656
367,0.0015848932,0.06094823852117944
367,0.0019952622,0.057963332535125936
367,0.0025118864,0.05430048401061808
367,0.0031622776,0.04983366300968076
367,0.0039810715,0.0444274482917867
367,0.0050118724,0.03794423686847152
367,0.0063095735,0.03025521010866353
367,0.007943282,0.021255557055490888
367,0.01,0.010884335665114531
367,0.012589254,-0.0008539961190130986
367,0.015848933,-0.013868972114867
367,0.019952623,-0.027970600177826002
367,0.025118865,-0.042868666985054614
367,0.031622775,-0.05818927266599255
367,0.039810717,-0.0735098708436932
367,0.050118722,-0.08840732155618296
367,0.06309573,-0.10250955784572398
367,0.07943282,-0.11553816385710244
367,0.1,-0.1273322892943311
367,0.12589253,-0.13784927785236678
367,0.15848932,-0.1471449667131231
367,0.19952624,-0.15534139191113563
367,0.25118864,-0.16259154886648228
367,0.31622776,-0.16904921989838648
367,0.39810717,-0.17484844932268429
367,0.5011872,-0.18009368308638832
367,0.63095737,-0.1848587704002227
367,0.7943282,-0.18919183450953223
367,1.0,-0.19312286117568883
367,1.2589254,-0.1966713933179904
367,1.5848932,-0.1998528130306135
367,1.9952623,-0.20268249170217298
367,2.5118864,-0.20517791237023325
367,3.1622777,-0.20735931710541675
367,3.9810717,-0.20924942730078155
367,5.0118723,-0.21087279878645993
367,6.3095737,-0.21225506269432665
367,7.943282,-0.213422183087332
