# Vertices,μ,τ_GLR
45,1e-06,-0.4074288824146027
45,1.2589254e-06,-0.40742912322804736
45,1.5848932e-06,-0.40742942971789076
45,1.9952622e-06,-0.4074298237762614
45,2.5118864e-06,-0.40743031634922844
45,3.1622776e-06,-0.4074309293289299
45,3.9810716e-06,-0.40743169555356407
45,5.0118724e-06,-0.4074326916456096
45,6.3095736e-06,-0.4074339176050803
45,7.943282e-06,-0.4074354938387255
45,1e-05,-0.4074374531847911
45,1.2589254e-05,-0.40743990510397865
45,1.5848931e-05,-0.4074430247335181
45,1.9952624e-05,-0.4074469324802413
45,2.5118865e-05,-0.4074518472658116
45,3.1622778e-05,-0.4074580427422635
45,3.981072e-05,-0.40746583634630346
45,5.0118724e-05,-0.40747564402957503
45,6.309574e-05,-0.4074879912049888
45,7.943282e-05,-0.4075035346395281
45,1e-04,-0.4075231062386611
45,0.00012589255,-0.40754774588607434
45,0.00015848932,-0.4075787233370954
45,0.00019952623,-0.40761772430401905
45,0.00025118864,-0.40766677383820554
45,0.00031622776,-0.40772846620445885
45,0.00039810716,-0.4078060743488741
45,0.0005011872,-0.40790362654095724
45,0.00063095737,-0.4080262347784717
45,0.0007943282,-0.40818025901755406
45,0.001,-0.40837364656838077
45,0.0012589254,-0.40861628246522863
45,0.0015848932,-0.40892044936379335
45,0.0019952622,-0.40930133131420404
45,0.0025118864,-0.40977762713943094
45,0.0031622776,-0.41037222974127363
45,0.0039810715,-0.4111129495526832
45,0.0050118724,-0.41203326046412186
45,0.0063095735,-0.4131729263945852
45,0.007943282,-0.4145784978677044
45,0.01,-0.41630327477985296
45,0.012589254,-0.41840670378043404
45,0.015848933,-0.4209525775745396
45,0.019952623,-0.42400586472663626
45,0.025118865,-0.42762752904182105
45,0.031622775,-0.4318674239771999
45,0.039810717,-0.43675510918484456
45,0.050118722,-0.4422898762020612
45,0.06309573,-0.44843109048844804
45,0.07943282,-0.45509210763761765
45,0.1,-0.4621399663481751
45,0.12589253,-0.469403362635212
45,0.15848932,-0.4766893240823216
45,0.19952624,-0.48380630313686956
45,0.25118864,-0.4905891340230732
45,0.31622776,-0.49692027076810535
45,0.39810717,-0.5027423747799028
45,0.5011872,-0.5080601261045607
45,0.63095737,-0.5129317816290272
45,0.7943282,-0.5174534247426491
45,1.0,-0.5217397659284633
45,1.2589254,-0.5259051237834306
45,1.5848932,-0.5300474541186011
45,1.9952623,-0.5342372454593046
45,2.5118864,-0.5385120618559671
45,3.1622777,-0.5428766109159492
45,3.9810717,-0.5473075377656719
45,5.0118723,-0.5517613086136532
45,6.3095737,-0.5561834386656314
45,7.943282,-0.5605171605663891
