index,Sampling Criterion,Graph,SNR (dB),Sample Size,log MSE
0,MMSE,0,-10.0,1,0.7009803
1,MMSE,0,-10.0,2,1.1445568
2,MMSE,0,-10.0,3,1.4095229
3,MMSE,0,-10.0,4,1.6586726
4,MMSE,0,-10.0,5,1.8251262
5,MMSE,0,-10.0,6,1.9773259
6,MMSE,0,-10.0,7,2.1144028
7,MMSE,0,-10.0,8,2.2901025
8,MMSE,0,-10.0,9,2.4075506
9,MMSE,0,-10.0,10,2.527292
10,MMSE,0,-10.0,11,2.6657763
11,MMSE,0,-10.0,12,2.7785392
12,MMSE,0,-10.0,13,2.8635645
13,MMSE,0,-10.0,14,2.9475727
14,MMSE,0,-10.0,15,3.119409
15,MMSE,0,-10.0,16,3.2351356
16,MMSE,0,-10.0,17,3.3436277
17,MMSE,0,-10.0,18,3.5033917
18,MMSE,0,-10.0,19,3.5834718
19,MMSE,0,-10.0,20,3.7282634
20,MMSE,0,-10.0,21,3.8309798
21,MMSE,0,-10.0,22,3.957379
22,MMSE,0,-10.0,23,4.069529
23,MMSE,0,-10.0,24,4.1844683
24,MMSE,0,-10.0,25,4.2378087
25,MMSE,0,-10.0,26,4.4044137
26,MMSE,0,-10.0,27,4.4905434
27,MMSE,0,-10.0,28,4.661665
28,MMSE,0,-10.0,29,4.7453837
29,MMSE,0,-10.0,30,4.883004
30,MMSE,0,-10.0,31,4.9399757
31,MMSE,0,-10.0,32,5.0641274
32,MMSE,0,-10.0,33,5.1712584
33,MMSE,0,-10.0,34,5.3276725
34,MMSE,0,-10.0,35,5.450197
35,MMSE,0,-10.0,36,5.612225
36,MMSE,0,-10.0,37,5.449476
37,MMSE,0,-10.0,38,5.3809443
38,MMSE,0,-10.0,39,5.272478
39,MMSE,0,-10.0,40,5.270449
40,MMSE,0,-10.0,41,5.214902
41,MMSE,0,-10.0,42,5.17408
42,MMSE,0,-10.0,43,5.124633
43,MMSE,0,-10.0,44,5.081272
44,MMSE,0,-10.0,45,5.040295
45,MMSE,0,-10.0,46,5.029714
46,MMSE,0,-10.0,47,4.9924994
47,MMSE,0,-10.0,48,4.934979
48,MMSE,0,-10.0,49,4.958231
49,MMSE,0,-10.0,50,4.8588114
50,MMSE,0,-10.0,51,4.870726
51,MMSE,0,-10.0,52,4.863521
52,MMSE,0,-10.0,53,4.8411098
53,MMSE,0,-10.0,54,4.828822
54,MMSE,0,-10.0,55,4.7859254
55,MMSE,0,-10.0,56,4.784852
56,MMSE,0,-10.0,57,4.740444
57,MMSE,0,-10.0,58,4.713103
58,MMSE,0,-10.0,59,4.693629
59,MMSE,0,-10.0,60,4.6877904
60,MMSE,0,-10.0,61,4.669196
61,MMSE,0,-10.0,62,4.6789026
62,MMSE,0,-10.0,63,4.647063
63,MMSE,0,-10.0,64,4.6365457
64,MMSE,0,-10.0,65,4.6086574
65,MMSE,0,-10.0,66,4.5724735
66,MMSE,0,-10.0,67,4.569005
67,MMSE,0,-10.0,68,4.594119
68,MMSE,0,-10.0,69,4.549451
69,MMSE,0,-10.0,70,4.5588527
70,MMSE,0,-10.0,71,4.51118
71,MMSE,0,-10.0,72,4.538233
0,Conf. Ellips.,0,-10.0,1,0.67153585
1,Conf. Ellips.,0,-10.0,2,1.1237749
2,Conf. Ellips.,0,-10.0,3,1.4348634
3,Conf. Ellips.,0,-10.0,4,1.6284486
4,Conf. Ellips.,0,-10.0,5,1.855619
5,Conf. Ellips.,0,-10.0,6,2.0353465
6,Conf. Ellips.,0,-10.0,7,2.140736
7,Conf. Ellips.,0,-10.0,8,2.2449126
8,Conf. Ellips.,0,-10.0,9,2.4299812
9,Conf. Ellips.,0,-10.0,10,2.5135336
10,Conf. Ellips.,0,-10.0,11,2.6415057
11,Conf. Ellips.,0,-10.0,12,2.761609
12,Conf. Ellips.,0,-10.0,13,2.843997
13,Conf. Ellips.,0,-10.0,14,2.9741018
14,Conf. Ellips.,0,-10.0,15,3.0733852
15,Conf. Ellips.,0,-10.0,16,3.2232978
16,Conf. Ellips.,0,-10.0,17,3.3459513
17,Conf. Ellips.,0,-10.0,18,3.4808447
18,Conf. Ellips.,0,-10.0,19,3.604841
19,Conf. Ellips.,0,-10.0,20,3.7133539
20,Conf. Ellips.,0,-10.0,21,3.8196118
21,Conf. Ellips.,0,-10.0,22,3.9461086
22,Conf. Ellips.,0,-10.0,23,4.0689497
23,Conf. Ellips.,0,-10.0,24,4.2165427
24,Conf. Ellips.,0,-10.0,25,4.3584085
25,Conf. Ellips.,0,-10.0,26,4.408547
26,Conf. Ellips.,0,-10.0,27,4.519084
27,Conf. Ellips.,0,-10.0,28,4.6432824
28,Conf. Ellips.,0,-10.0,29,4.7546606
29,Conf. Ellips.,0,-10.0,30,4.869722
30,Conf. Ellips.,0,-10.0,31,5.0275354
31,Conf. Ellips.,0,-10.0,32,5.104377
32,Conf. Ellips.,0,-10.0,33,5.189613
33,Conf. Ellips.,0,-10.0,34,5.320679
34,Conf. Ellips.,0,-10.0,35,5.461781
35,Conf. Ellips.,0,-10.0,36,5.5624533
36,Conf. Ellips.,0,-10.0,37,5.456318
37,Conf. Ellips.,0,-10.0,38,5.4150414
38,Conf. Ellips.,0,-10.0,39,5.3392935
39,Conf. Ellips.,0,-10.0,40,5.2640705
40,Conf. Ellips.,0,-10.0,41,5.219512
41,Conf. Ellips.,0,-10.0,42,5.217905
42,Conf. Ellips.,0,-10.0,43,5.200619
43,Conf. Ellips.,0,-10.0,44,5.126363
44,Conf. Ellips.,0,-10.0,45,5.1259246
45,Conf. Ellips.,0,-10.0,46,5.103921
46,Conf. Ellips.,0,-10.0,47,5.0844297
47,Conf. Ellips.,0,-10.0,48,5.0263886
48,Conf. Ellips.,0,-10.0,49,4.9853683
49,Conf. Ellips.,0,-10.0,50,4.989557
50,Conf. Ellips.,0,-10.0,51,4.9431515
51,Conf. Ellips.,0,-10.0,52,4.908101
52,Conf. Ellips.,0,-10.0,53,4.8647027
53,Conf. Ellips.,0,-10.0,54,4.878615
54,Conf. Ellips.,0,-10.0,55,4.8398614
55,Conf. Ellips.,0,-10.0,56,4.81917
56,Conf. Ellips.,0,-10.0,57,4.7620864
57,Conf. Ellips.,0,-10.0,58,4.723446
58,Conf. Ellips.,0,-10.0,59,4.744981
59,Conf. Ellips.,0,-10.0,60,4.725177
60,Conf. Ellips.,0,-10.0,61,4.6908565
61,Conf. Ellips.,0,-10.0,62,4.697092
62,Conf. Ellips.,0,-10.0,63,4.646554
63,Conf. Ellips.,0,-10.0,64,4.6268573
64,Conf. Ellips.,0,-10.0,65,4.6284747
65,Conf. Ellips.,0,-10.0,66,4.625066
66,Conf. Ellips.,0,-10.0,67,4.6239276
67,Conf. Ellips.,0,-10.0,68,4.588544
68,Conf. Ellips.,0,-10.0,69,4.576263
69,Conf. Ellips.,0,-10.0,70,4.574466
70,Conf. Ellips.,0,-10.0,71,4.5437407
71,Conf. Ellips.,0,-10.0,72,4.5331254
0,WMSE,0,-10.0,1,0.76413405
1,WMSE,0,-10.0,2,1.1123474
2,WMSE,0,-10.0,3,1.4816096
3,WMSE,0,-10.0,4,1.6864691
4,WMSE,0,-10.0,5,1.8682203
5,WMSE,0,-10.0,6,2.054498
6,WMSE,0,-10.0,7,2.1679194
7,WMSE,0,-10.0,8,2.2740448
8,WMSE,0,-10.0,9,2.427816
9,WMSE,0,-10.0,10,2.5400438
10,WMSE,0,-10.0,11,2.6234775
11,WMSE,0,-10.0,12,2.7296255
12,WMSE,0,-10.0,13,2.857435
13,WMSE,0,-10.0,14,2.9356523
14,WMSE,0,-10.0,15,3.0613482
15,WMSE,0,-10.0,16,3.2157938
16,WMSE,0,-10.0,17,3.372715
17,WMSE,0,-10.0,18,3.481561
18,WMSE,0,-10.0,19,3.5783489
19,WMSE,0,-10.0,20,3.7105446
20,WMSE,0,-10.0,21,3.850483
21,WMSE,0,-10.0,22,3.902047
22,WMSE,0,-10.0,23,4.046334
23,WMSE,0,-10.0,24,4.1877937
24,WMSE,0,-10.0,25,4.239868
25,WMSE,0,-10.0,26,4.3465753
26,WMSE,0,-10.0,27,4.5174837
27,WMSE,0,-10.0,28,4.579863
28,WMSE,0,-10.0,29,4.7551975
29,WMSE,0,-10.0,30,4.8901
30,WMSE,0,-10.0,31,4.98838
31,WMSE,0,-10.0,32,5.1461906
32,WMSE,0,-10.0,33,5.237301
33,WMSE,0,-10.0,34,5.3310165
34,WMSE,0,-10.0,35,5.4897227
35,WMSE,0,-10.0,36,5.6652713
36,WMSE,0,-10.0,37,5.48464
37,WMSE,0,-10.0,38,5.45137
38,WMSE,0,-10.0,39,5.4172926
39,WMSE,0,-10.0,40,5.400466
40,WMSE,0,-10.0,41,5.361382
41,WMSE,0,-10.0,42,5.3440037
42,WMSE,0,-10.0,43,5.3198156
43,WMSE,0,-10.0,44,5.2215524
44,WMSE,0,-10.0,45,5.2197766
45,WMSE,0,-10.0,46,5.168235
46,WMSE,0,-10.0,47,5.1922894
47,WMSE,0,-10.0,48,5.1115103
48,WMSE,0,-10.0,49,5.1289816
49,WMSE,0,-10.0,50,5.0786867
50,WMSE,0,-10.0,51,5.0914516
51,WMSE,0,-10.0,52,5.0846634
52,WMSE,0,-10.0,53,5.0834937
53,WMSE,0,-10.0,54,5.078095
54,WMSE,0,-10.0,55,5.054248
55,WMSE,0,-10.0,56,5.059787
56,WMSE,0,-10.0,57,5.0299807
57,WMSE,0,-10.0,58,4.972366
58,WMSE,0,-10.0,59,4.9805827
59,WMSE,0,-10.0,60,4.9791727
60,WMSE,0,-10.0,61,4.907133
61,WMSE,0,-10.0,62,4.9261312
62,WMSE,0,-10.0,63,4.8888297
63,WMSE,0,-10.0,64,4.8928213
64,WMSE,0,-10.0,65,4.857716
65,WMSE,0,-10.0,66,4.8533607
66,WMSE,0,-10.0,67,4.862392
67,WMSE,0,-10.0,68,4.830529
68,WMSE,0,-10.0,69,4.7853246
69,WMSE,0,-10.0,70,4.7572813
70,WMSE,0,-10.0,71,4.765581
71,WMSE,0,-10.0,72,4.7472324
0,W. Random,0,-10.0,1,0.8425195
1,W. Random,0,-10.0,2,1.731852
2,W. Random,0,-10.0,3,2.1256053
3,W. Random,0,-10.0,4,2.5542858
4,W. Random,0,-10.0,5,3.2736983
5,W. Random,0,-10.0,6,3.350674
6,W. Random,0,-10.0,7,3.4575233
7,W. Random,0,-10.0,8,3.7838488
8,W. Random,0,-10.0,9,4.177676
9,W. Random,0,-10.0,10,4.5666366
10,W. Random,0,-10.0,11,4.7415977
11,W. Random,0,-10.0,12,4.8637896
