index,Sampling Criterion,Graph,SNR (dB),Sample Size,log MSE
0,MMSE,0,20.0,1,-0.0020839216
1,MMSE,0,20.0,2,-0.0022896493
2,MMSE,0,20.0,3,-0.0038932553
3,MMSE,0,20.0,4,-0.0050338632
4,MMSE,0,20.0,5,-0.007706999
5,MMSE,0,20.0,6,-0.010975046
6,MMSE,0,20.0,7,-0.011165615
7,MMSE,0,20.0,8,-0.013158688
8,MMSE,0,20.0,9,-0.014491568
9,MMSE,0,20.0,10,-0.017551366
10,MMSE,0,20.0,11,-0.021689286
11,MMSE,0,20.0,12,-0.025106162
12,MMSE,0,20.0,13,-0.03263576
13,MMSE,0,20.0,14,-0.04018445
14,MMSE,0,20.0,15,-0.04620587
15,MMSE,0,20.0,16,-0.056569476
16,MMSE,0,20.0,17,-0.054747425
17,MMSE,0,20.0,18,-0.06898067
18,MMSE,0,20.0,19,-0.08039287
19,MMSE,0,20.0,20,-0.0906721
20,MMSE,0,20.0,21,-0.09411358
21,MMSE,0,20.0,22,-0.11467851
22,MMSE,0,20.0,23,-0.14294212
23,MMSE,0,20.0,24,-0.15345255
24,MMSE,0,20.0,25,-0.16497946
25,MMSE,0,20.0,26,-0.23777519
26,MMSE,0,20.0,27,-0.24284518
27,MMSE,0,20.0,28,-0.4028472
28,MMSE,0,20.0,29,-0.5347229
29,MMSE,0,20.0,30,-0.7662119
30,MMSE,0,20.0,31,-0.7484423
31,MMSE,0,20.0,32,-0.7257859
32,MMSE,0,20.0,33,-0.677979
33,MMSE,0,20.0,34,-1.421497
34,MMSE,0,20.0,35,-1.3954483
35,MMSE,0,20.0,36,-1.3169167
36,MMSE,0,20.0,37,-1.4538093
37,MMSE,0,20.0,38,-1.5384923
38,MMSE,0,20.0,39,-1.5940132
39,MMSE,0,20.0,40,-1.6528487
40,MMSE,0,20.0,41,-1.7199311
41,MMSE,0,20.0,42,-1.7728772
42,MMSE,0,20.0,43,-1.7957608
43,MMSE,0,20.0,44,-1.8357117
44,MMSE,0,20.0,45,-1.8756913
45,MMSE,0,20.0,46,-1.8837469
46,MMSE,0,20.0,47,-1.9417073
47,MMSE,0,20.0,48,-1.9468553
48,MMSE,0,20.0,49,-1.9676661
49,MMSE,0,20.0,50,-2.00929
50,MMSE,0,20.0,51,-2.0714483
51,MMSE,0,20.0,52,-2.0362337
52,MMSE,0,20.0,53,-2.0608282
53,MMSE,0,20.0,54,-2.1048458
54,MMSE,0,20.0,55,-2.1233146
55,MMSE,0,20.0,56,-2.130319
56,MMSE,0,20.0,57,-2.1515577
57,MMSE,0,20.0,58,-2.1756263
58,MMSE,0,20.0,59,-2.2097566
59,MMSE,0,20.0,60,-2.2193005
60,MMSE,0,20.0,61,-2.230696
61,MMSE,0,20.0,62,-2.226844
62,MMSE,0,20.0,63,-2.23762
63,MMSE,0,20.0,64,-2.259888
64,MMSE,0,20.0,65,-2.3055346
65,MMSE,0,20.0,66,-2.3174727
66,MMSE,0,20.0,67,-2.3006918
67,MMSE,0,20.0,68,-2.331704
68,MMSE,0,20.0,69,-2.3411956
69,MMSE,0,20.0,70,-2.3925004
70,MMSE,0,20.0,71,-2.3954082
71,MMSE,0,20.0,72,-2.4356246
0,Conf. Ellips.,0,20.0,1,-0.0022166483
1,Conf. Ellips.,0,20.0,2,-0.0022548805
2,Conf. Ellips.,0,20.0,3,-0.0037604854
3,Conf. Ellips.,0,20.0,4,-0.0049989386
4,Conf. Ellips.,0,20.0,5,-0.007333039
5,Conf. Ellips.,0,20.0,6,-0.011414698
6,Conf. Ellips.,0,20.0,7,-0.01142784
7,Conf. Ellips.,0,20.0,8,-0.013088935
8,Conf. Ellips.,0,20.0,9,-0.013887851
9,Conf. Ellips.,0,20.0,10,-0.017714858
10,Conf. Ellips.,0,20.0,11,-0.022374775
11,Conf. Ellips.,0,20.0,12,-0.02511808
12,Conf. Ellips.,0,20.0,13,-0.03191613
13,Conf. Ellips.,0,20.0,14,-0.039824072
14,Conf. Ellips.,0,20.0,15,-0.045354962
15,Conf. Ellips.,0,20.0,16,-0.05736206
16,Conf. Ellips.,0,20.0,17,-0.07035393
17,Conf. Ellips.,0,20.0,18,-0.067766376
18,Conf. Ellips.,0,20.0,19,-0.080316074
19,Conf. Ellips.,0,20.0,20,-0.07927188
20,Conf. Ellips.,0,20.0,21,-0.091828875
21,Conf. Ellips.,0,20.0,22,-0.096553974
22,Conf. Ellips.,0,20.0,23,-0.1264231
23,Conf. Ellips.,0,20.0,24,-0.13483237
24,Conf. Ellips.,0,20.0,25,-0.19681832
25,Conf. Ellips.,0,20.0,26,-0.24900419
26,Conf. Ellips.,0,20.0,27,-0.26187652
27,Conf. Ellips.,0,20.0,28,-0.322976
28,Conf. Ellips.,0,20.0,29,-0.33712465
29,Conf. Ellips.,0,20.0,30,-0.38453108
30,Conf. Ellips.,0,20.0,31,-0.37356937
31,Conf. Ellips.,0,20.0,32,-0.42816707
32,Conf. Ellips.,0,20.0,33,-0.6292191
