index,Sampling Criterion,Graph,SNR (dB),Sample Size,log MSE
0,MMSE,0,-10.0,1,1.9660071
1,MMSE,0,-10.0,2,2.593211
2,MMSE,0,-10.0,3,2.9739203
3,MMSE,0,-10.0,4,3.2877295
4,MMSE,0,-10.0,5,3.4978213
5,MMSE,0,-10.0,6,3.8562183
6,MMSE,0,-10.0,7,4.0183225
7,MMSE,0,-10.0,8,4.155606
8,MMSE,0,-10.0,9,4.1335444
9,MMSE,0,-10.0,10,4.0822864
10,MMSE,0,-10.0,11,3.974718
11,MMSE,0,-10.0,12,3.8670778
12,MMSE,0,-10.0,13,3.7463875
13,MMSE,0,-10.0,14,3.6873343
14,MMSE,0,-10.0,15,3.6115355
15,MMSE,0,-10.0,16,3.4729397
0,Conf. Ellips.,0,-10.0,1,1.9374219
1,Conf. Ellips.,0,-10.0,2,2.6452372
2,Conf. Ellips.,0,-10.0,3,2.9765754
3,Conf. Ellips.,0,-10.0,4,3.278845
4,Conf. Ellips.,0,-10.0,5,3.514972
5,Conf. Ellips.,0,-10.0,6,3.8186164
6,Conf. Ellips.,0,-10.0,7,4.0197496
7,Conf. Ellips.,0,-10.0,8,4.2187457
8,Conf. Ellips.,0,-10.0,9,4.117913
9,Conf. Ellips.,0,-10.0,10,4.071155
10,Conf. Ellips.,0,-10.0,11,4.0099688
11,Conf. Ellips.,0,-10.0,12,3.915773
12,Conf. Ellips.,0,-10.0,13,3.7721636
13,Conf. Ellips.,0,-10.0,14,3.758889
14,Conf. Ellips.,0,-10.0,15,3.559805
15,Conf. Ellips.,0,-10.0,16,3.4806046
0,WMSE,0,-10.0,1,2.0054278
1,WMSE,0,-10.0,2,2.5440836
2,WMSE,0,-10.0,3,2.99229
3,WMSE,0,-10.0,4,3.2911081
4,WMSE,0,-10.0,5,3.558711
5,WMSE,0,-10.0,6,3.8088963
6,WMSE,0,-10.0,7,4.038262
7,WMSE,0,-10.0,8,4.195487
8,WMSE,0,-10.0,9,4.155608
9,WMSE,0,-10.0,10,4.061667
10,WMSE,0,-10.0,11,4.045662
11,WMSE,0,-10.0,12,3.9787312
12,WMSE,0,-10.0,13,3.8838234
13,WMSE,0,-10.0,14,3.8047147
14,WMSE,0,-10.0,15,3.7288904
15,WMSE,0,-10.0,16,3.6082103
0,W. Random,0,-10.0,1,2.0158205
1,W. Random,0,-10.0,2,2.871757
2,W. Random,0,-10.0,3,3.398429
3,W. Random,0,-10.0,4,3.6869864
4,W. Random,0,-10.0,5,3.9554355
5,W. Random,0,-10.0,6,4.047545
6,W. Random,0,-10.0,7,11.520983
7,W. Random,0,-10.0,8,11.4812
8,W. Random,0,-10.0,9,16.90345
9,W. Random,0,-10.0,10,15.1265745
10,W. Random,0,-10.0,11,4.768846
11,W. Random,0,-10.0,12,3.9997313
12,W. Random,0,-10.0,13,3.9301379
13,W. Random,0,-10.0,14,3.95089
14,W. Random,0,-10.0,15,3.809551
15,W. Random,0,-10.0,16,3.755459
