index,Sampling Criterion,Graph,SNR (dB),Sample Size,log MSE
0,MMSE,0,20.0,1,-0.09121124
1,MMSE,0,20.0,2,-0.14736736
2,MMSE,0,20.0,3,-0.31459936
3,MMSE,0,20.0,4,-0.42750514
4,MMSE,0,20.0,5,-0.53689325
5,MMSE,0,20.0,6,-0.7909729
6,MMSE,0,20.0,7,-1.1678057
7,MMSE,0,20.0,8,-2.656898
8,MMSE,0,20.0,9,-2.8162305
9,MMSE,0,20.0,10,-2.8826268
10,MMSE,0,20.0,11,-2.9315908
11,MMSE,0,20.0,12,-3.0700083
12,MMSE,0,20.0,13,-3.2419503
13,MMSE,0,20.0,14,-3.2162547
14,MMSE,0,20.0,15,-3.288003
15,MMSE,0,20.0,16,-3.3622913
0,Conf. Ellips.,0,20.0,1,-0.09176661
1,Conf. Ellips.,0,20.0,2,-0.14639236
2,Conf. Ellips.,0,20.0,3,-0.3132518
3,Conf. Ellips.,0,20.0,4,-0.4308013
4,Conf. Ellips.,0,20.0,5,-0.5320812
5,Conf. Ellips.,0,20.0,6,-0.78538746
6,Conf. Ellips.,0,20.0,7,-1.173994
7,Conf. Ellips.,0,20.0,8,-2.7348764
8,Conf. Ellips.,0,20.0,9,-2.8088498
9,Conf. Ellips.,0,20.0,10,-2.8372357
10,Conf. Ellips.,0,20.0,11,-2.9430065
11,Conf. Ellips.,0,20.0,12,-3.0013652
12,Conf. Ellips.,0,20.0,13,-3.0837312
13,Conf. Ellips.,0,20.0,14,-3.1540804
14,Conf. Ellips.,0,20.0,15,-3.3078475
15,Conf. Ellips.,0,20.0,16,-3.3881166
0,WMSE,0,20.0,1,-0.091025546
1,WMSE,0,20.0,2,-0.14902256
2,WMSE,0,20.0,3,-0.31447157
3,WMSE,0,20.0,4,-0.42710426
4,WMSE,0,20.0,5,-0.53143203
5,WMSE,0,20.0,6,-0.79420066
6,WMSE,0,20.0,7,-1.1813103
7,WMSE,0,20.0,8,-2.7592618
8,WMSE,0,20.0,9,-2.8202589
9,WMSE,0,20.0,10,-2.7836273
10,WMSE,0,20.0,11,-2.9042466
11,WMSE,0,20.0,12,-2.9435956
12,WMSE,0,20.0,13,-3.0258665
13,WMSE,0,20.0,14,-3.1207972
14,WMSE,0,20.0,15,-3.2387753
15,WMSE,0,20.0,16,-3.2684069
0,W. Random,0,20.0,1,-0.05456769
1,W. Random,0,20.0,2,-0.16850644
2,W. Random,0,20.0,3,-0.278314
3,W. Random,0,20.0,4,-0.4603333
4,W. Random,0,20.0,5,-0.6227369
5,W. Random,0,20.0,6,-0.074052736
6,W. Random,0,20.0,7,-0.21895207
7,W. Random,0,20.0,8,4.129735
8,W. Random,0,20.0,9,13.200618
9,W. Random,0,20.0,10,11.69431
10,W. Random,0,20.0,11,7.939693
11,W. Random,0,20.0,12,6.206782
12,W. Random,0,20.0,13,6.069805
13,W. Random,0,20.0,14,5.131983
14,W. Random,0,20.0,15,4.81996
15,W. Random,0,20.0,16,-3.0488503
