index,Sampling Criterion,Sample Size,τ,graph_id
0,MMSE,1,0.11577465305662675,0
1,MMSE,2,0.12375390041785213,0
2,MMSE,3,0.12902041749740653,0
3,MMSE,4,0.14378868749156223,0
4,MMSE,5,0.14733236731480606,0
5,MMSE,6,0.1519498031863105,0
6,MMSE,7,0.15327038800662826,0
7,MMSE,8,0.15660623067374327,0
8,MMSE,9,0.15807214590073232,0
9,MMSE,10,0.16127483323757855,0
10,MMSE,11,0.16307658424138402,0
11,MMSE,12,0.16583549986570603,0
12,MMSE,13,0.1680817439190875,0
13,MMSE,14,0.17689415033442907,0
14,MMSE,15,0.18653938327398156,0
15,MMSE,16,0.18744745370629728,0
16,MMSE,17,0.1918964217157722,0
17,MMSE,18,0.1936632090308816,0
18,MMSE,19,0.19405053942077932,0
19,MMSE,20,0.20972591118052436,0
20,MMSE,21,0.21222626724056895,0
21,MMSE,22,0.2279433225802201,0
22,MMSE,23,0.22908209751699501,0
23,MMSE,24,0.25912490762076673,0
24,MMSE,25,0.2605968584401388,0
25,MMSE,26,0.285773297513881,0
26,MMSE,27,0.29699304860957126,0
27,MMSE,28,0.3077655866248897,0
28,MMSE,29,0.33439707327645246,0
29,MMSE,30,0.33851947308678376,0
30,MMSE,31,0.3716904098361127,0
31,MMSE,32,0.3794155982722174,0
32,MMSE,33,0.40026373907113283,0
33,MMSE,34,0.4170551589495034,0
34,MMSE,35,0.4296680018535284,0
35,MMSE,36,0.4836052157055377,0
36,MMSE,37,0.4925706700390052,0
37,MMSE,38,0.541930390074235,0
38,MMSE,39,0.574345579102669,0
39,MMSE,40,0.6049311334227369,0
40,MMSE,41,0.6444200011257095,0
41,MMSE,42,0.7737182663377623,0
42,MMSE,43,0.9693238375933333,0
43,MMSE,44,1.0278738689214606,0
44,MMSE,45,1.4248861027215953,0
45,MMSE,46,1.8454137185834525,0
46,MMSE,47,2.2309532407041703,0
47,MMSE,48,2.7368840773905903,0
48,MMSE,49,2.8429021503392278,0
49,MMSE,50,5.808252125391209,0
50,MMSE,51,-5.122523510031664,0
51,MMSE,52,-2.7760471274731855,0
52,MMSE,53,-1.699529377550732,0
53,MMSE,54,-1.5120680540713636,0
54,MMSE,55,-1.4957642847105432,0
55,MMSE,56,-0.9128428315241195,0
56,MMSE,57,-0.8319860167633977,0
57,MMSE,58,-0.7391621458919531,0
58,MMSE,59,-0.6701781207675651,0
59,MMSE,60,-0.5348872850107511,0
60,MMSE,61,-0.4809040687584229,0
61,MMSE,62,-0.4156638815308014,0
62,MMSE,63,-0.36797385209603417,0
63,MMSE,64,-0.3490206576393177,0
64,MMSE,65,-0.30309734763081336,0
65,MMSE,66,-0.2845739503538667,0
66,MMSE,67,-0.2731953635539256,0
67,MMSE,68,-0.26445673052871255,0
68,MMSE,69,-0.24692425432430126,0
69,MMSE,70,-0.22756640936847533,0
70,MMSE,71,-0.2149225497120213,0
71,MMSE,72,-0.19980067328196896,0
72,MMSE,73,-0.19726723404935456,0
73,MMSE,74,-0.1809769233595091,0
74,MMSE,75,-0.17527846096081276,0
75,MMSE,76,-0.15234384451151328,0
76,MMSE,77,-0.14742533198204627,0
77,MMSE,78,-0.13984856118433556,0
78,MMSE,79,-0.13222969734419934,0
79,MMSE,80,-0.12830954796568222,0
80,MMSE,81,-0.12081254131634438,0
81,MMSE,82,-0.1190952398636739,0
82,MMSE,83,-0.10928062425714416,0
83,MMSE,84,-0.10769067006915094,0
84,MMSE,85,-0.1053144607099739,0
85,MMSE,86,-0.09823111738405146,0
86,MMSE,87,-0.09392955544284973,0
87,MMSE,88,-0.08571024397867007,0
88,MMSE,89,-0.08509394201042682,0
89,MMSE,90,-0.08009018585937895,0
90,MMSE,91,-0.07986079964872346,0
91,MMSE,92,-0.07292022569239834,0
92,MMSE,93,-0.06921918247123245,0
93,MMSE,94,-0.0669738173090721,0
94,MMSE,95,-0.06488346152711415,0
95,MMSE,96,-0.06405980758214583,0
96,MMSE,97,-0.06212556817885684,0
97,MMSE,98,-0.06146967862318888,0
98,MMSE,99,-0.05852372295025106,0
99,MMSE,100,-0.05587137684007502,0
0,Conf. Ellips.,1,0.11577465305662675,0
1,Conf. Ellips.,2,0.12375390041785213,0
2,Conf. Ellips.,3,0.12902041749740653,0
3,Conf. Ellips.,4,0.14378868749156223,0
4,Conf. Ellips.,5,0.14733236731480606,0
5,Conf. Ellips.,6,0.1519498031863105,0
6,Conf. Ellips.,7,0.15327038800662826,0
7,Conf. Ellips.,8,0.15660623067374327,0
8,Conf. Ellips.,9,0.15807214590073232,0
9,Conf. Ellips.,10,0.16127483323757855,0
10,Conf. Ellips.,11,0.16307658424138402,0
11,Conf. Ellips.,12,0.16583549986570603,0
12,Conf. Ellips.,13,0.1680817439190875,0
13,Conf. Ellips.,14,0.17689415033442907,0
14,Conf. Ellips.,15,0.18653938327398156,0
15,Conf. Ellips.,16,0.19182665846669272,0
16,Conf. Ellips.,17,0.18751721695537749,0
17,Conf. Ellips.,18,0.19366320903088052,0
18,Conf. Ellips.,19,0.19405053942077827,0
19,Conf. Ellips.,20,0.20972591118052647,0
20,Conf. Ellips.,21,0.21222626724056753,0
21,Conf. Ellips.,22,0.22794332258021938,0
22,Conf. Ellips.,23,0.22908209751699643,0
23,Conf. Ellips.,24,0.2605158560301916,0
24,Conf. Ellips.,25,0.2592059100307139,0
25,Conf. Ellips.,26,0.2857732975138802,0
26,Conf. Ellips.,27,0.29699304860957126,0
27,Conf. Ellips.,28,0.30776558662488684,0
28,Conf. Ellips.,29,0.33439707327645607,0
29,Conf. Ellips.,30,0.3461020386863715,0
30,Conf. Ellips.,31,0.36410784423652626,0
31,Conf. Ellips.,32,0.39397452224388874,0
32,Conf. Ellips.,33,0.41281847432352947,0
33,Conf. Ellips.,34,0.39290122184854254,0
34,Conf. Ellips.,35,0.4863418385404998,0
35,Conf. Ellips.,36,0.4845728170834164,0
36,Conf. Ellips.,37,0.4319695098510422,0
37,Conf. Ellips.,38,0.5419303900742407,0
38,Conf. Ellips.,39,0.5743455791026677,0
39,Conf. Ellips.,40,0.6049311334227354,0
40,Conf. Ellips.,41,0.6444200011257095,0
41,Conf. Ellips.,42,1.0154460187389147,0
42,Conf. Ellips.,43,0.7704343377281916,0
43,Conf. Ellips.,44,0.9850356163854486,0
44,Conf. Ellips.,45,1.4248861027215924,0
45,Conf. Ellips.,46,2.16168914620975,0
46,Conf. Ellips.,47,3.514114880161742,0
47,Conf. Ellips.,48,2.9770067661366,0
48,Conf. Ellips.,49,2.8893582130898947,0
49,Conf. Ellips.,50,19.77129169870156,0
50,Conf. Ellips.,51,-16.801916707042842,0
51,Conf. Ellips.,52,-5.696683136604847,0
52,Conf. Ellips.,53,-1.7411727501760283,0
53,Conf. Ellips.,54,-1.2245690743991873,0
54,Conf. Ellips.,55,-1.938431801645288,0
55,Conf. Ellips.,56,-1.865235656689481,0
56,Conf. Ellips.,57,-0.9720777760237695,0
57,Conf. Ellips.,58,-0.7229846855756079,0
58,Conf. Ellips.,59,-0.4997699628692146,0
59,Conf. Ellips.,60,-0.4702024235823842,0
60,Conf. Ellips.,61,-0.5185754815078412,0
61,Conf. Ellips.,62,-0.3752503537806405,0
62,Conf. Ellips.,63,-0.3780404443431394,0
63,Conf. Ellips.,64,-0.27467640675567395,0
64,Conf. Ellips.,65,-0.4462554782389077,0
65,Conf. Ellips.,66,-0.30644544471779084,0
66,Conf. Ellips.,67,-0.23928185116243839,0
67,Conf. Ellips.,68,-0.24657271070221895,0
68,Conf. Ellips.,69,-0.21064172699690573,0
