index,Sampling Criterion,Sample Size,τ,graph_id
0,MMSE,1,0.6280286471063048,0
1,MMSE,2,0.6370492457480929,0
2,MMSE,3,0.6443698682420151,0
3,MMSE,4,0.7489359458581242,0
4,MMSE,5,0.926247561254923,0
5,MMSE,6,0.9339724688400477,0
6,MMSE,7,0.9616853581836684,0
7,MMSE,8,1.0927502314708768,0
8,MMSE,9,-0.5207664192316556,0
9,MMSE,10,-0.47415666966321623,0
10,MMSE,11,-0.45641988316501486,0
11,MMSE,12,-0.45160844885476004,0
12,MMSE,13,-0.42770667496982545,0
13,MMSE,14,-0.32484507096473736,0
14,MMSE,15,-0.31665076329599817,0
15,MMSE,16,-0.31097719418130887,0
0,Conf. Ellips.,1,0.6280286471063048,0
1,Conf. Ellips.,2,0.6370492457480929,0
2,Conf. Ellips.,3,0.6443698682420151,0
3,Conf. Ellips.,4,0.7489359458581242,0
4,Conf. Ellips.,5,0.926247561254923,0
5,Conf. Ellips.,6,0.9339724688400477,0
6,Conf. Ellips.,7,0.9616853581836684,0
7,Conf. Ellips.,8,1.0927502314708768,0
8,Conf. Ellips.,9,-0.5207664192316556,0
9,Conf. Ellips.,10,-0.3264713046306257,0
10,Conf. Ellips.,11,-0.3235897972584136,0
11,Conf. Ellips.,12,-0.4457465026341614,0
12,Conf. Ellips.,13,-0.3165765551178045,0
13,Conf. Ellips.,14,-0.45795178188293956,0
14,Conf. Ellips.,15,-0.4504150577916132,0
15,Conf. Ellips.,16,-0.441613705779305,0
0,WMSE,1,0.6280286471063048,0
1,WMSE,2,0.6370492457480929,0
2,WMSE,3,0.6443698682420151,0
3,WMSE,4,0.7489359458581242,0
4,WMSE,5,0.926247561254923,0
5,WMSE,6,0.9593654885983874,0
6,WMSE,7,0.9362923384253299,0
7,WMSE,8,1.0927502314708755,0
8,WMSE,9,-0.3345415021794098,0
9,WMSE,10,-0.2564122589303957,0
10,WMSE,11,-0.3488551797771038,0
11,WMSE,12,-0.35312094737549465,0
12,WMSE,13,-0.4515900884461454,0
13,WMSE,14,-0.43334554161793776,0
14,WMSE,15,-0.31921625976754436,0
15,WMSE,16,-0.32310289414780613,0
0,W. Random,1,1.8029989559107926,0
1,W. Random,2,1.5600624212128624,0
2,W. Random,3,1.033450075173481,0
3,W. Random,4,7.101062863528496,0
4,W. Random,5,0.7494428875055796,0
5,W. Random,6,31.545287061447965,0
6,W. Random,7,-6.564921320872635,0
7,W. Random,8,16.408770231639956,0
8,W. Random,9,148.26329278448293,0
9,W. Random,10,-163.85260115278902,0
10,W. Random,11,-2.977466582477402,0
11,W. Random,12,-8.42171404117284,0
12,W. Random,13,-1.6343526223308447,0
13,W. Random,14,-0.6057005878029739,0
14,W. Random,15,-0.21193764621488703,0
15,W. Random,16,-12.674411428239315,0
