,Sampling Type,Sample Size,class_error,rec_error
0,Random,1,87,12.0
1,Random,2,83,11.0
2,Random,3,76,10.0
3,Random,4,76,9.0
4,Random,5,75,8.0
5,Random,6,68,7.0000005
6,Random,7,68,7.0
7,Random,8,49,6.0000005
8,Random,9,36,5.0
9,Random,10,16,4.0000005
10,Random,11,13,3.0
11,Random,12,9,2.0
12,Random,13,8,0.9999999
13,Random,14,0,1.5424709e-07
14,Random,15,0,4.750539e-09
15,Random,16,0,2.981138e-09
16,Random,17,0,1.4080077e-09
17,Random,18,0,3.5219865e-11
18,Random,19,0,5.1537108e-11
19,Random,20,0,4.7895743e-11
20,Random,21,0,9.522569e-11
21,Random,22,0,4.6373086e-11
22,Random,23,0,6.555576e-11
23,Random,24,0,1.0464231e-10
24,Random,25,0,6.6548225e-11
25,Random,26,0,7.8338926e-11
26,Random,27,0,5.9332074e-11
27,Random,28,0,4.5652072e-11
28,Random,29,0,5.29063e-11
29,Random,30,0,3.82733e-11
30,Random,31,0,4.3666838e-11
31,Random,32,0,1.7140109e-11
32,Random,33,0,1.4701084e-11
33,Random,34,0,2.1873928e-11
34,Random,35,0,1.8119903e-11
35,Random,36,0,1.4293268e-11
36,Random,37,0,1.4037339e-11
37,Random,38,0,1.6365884e-11
38,Random,39,0,1.3700607e-11
39,Random,40,0,1.7527221e-11
40,Random,41,0,1.149302e-11
41,Random,42,0,4.1973274e-12
42,Random,43,0,4.5642457e-12
43,Random,44,0,5.2726512e-12
44,Random,45,0,3.6223962e-12
45,Random,46,0,3.4878923e-12
46,Random,47,0,3.0055097e-12
47,Random,48,0,4.0676694e-12
48,Random,49,0,3.6871426e-12
49,Random,50,0,4.0355935e-12
50,Random,51,0,5.7612287e-12
51,Random,52,0,5.4043397e-12
52,Random,53,0,6.706966e-12
53,Random,54,0,4.3405895e-12
54,Random,55,0,3.7380303e-12
55,Random,56,0,4.55347e-12
56,Random,57,0,3.818676e-12
57,Random,58,0,5.653097e-12
58,Random,59,0,4.8652974e-12
59,Random,60,0,3.776494e-12
60,Random,61,0,3.3687744e-12
61,Random,62,0,3.750654e-12
62,Random,63,0,4.2299493e-12
63,Random,64,0,3.7325082e-12
64,Random,65,0,4.673152e-12
65,Random,66,0,3.4789606e-12
66,Random,67,0,3.5205092e-12
67,Random,68,0,3.5153024e-12
68,Random,69,0,5.1292763e-12
69,Random,70,0,3.7866784e-12
70,Random,71,0,4.1674698e-12
71,Random,72,0,4.8485586e-12
72,Random,73,0,3.1211353e-12
73,Random,74,0,3.3175815e-12
74,Random,75,0,3.1714134e-12
75,Random,76,0,3.3431578e-12
76,Random,77,0,3.910627e-12
77,Random,78,0,4.843991e-12
78,Random,79,0,4.915133e-12
79,Random,80,0,4.3748984e-12
80,Random,81,0,3.7256313e-12
81,Random,82,0,3.6990125e-12
82,Random,83,0,3.1910126e-12
83,Random,84,0,4.531856e-12
84,Random,85,0,4.3033923e-12
85,Random,86,0,2.9184181e-12
86,Random,87,0,3.870193e-12
87,Random,88,0,3.947625e-12
88,Random,89,0,4.6256866e-12
89,Random,90,0,4.0053763e-12
90,Random,91,0,2.8849278e-12
91,Random,92,0,3.255474e-12
92,Random,93,0,3.3532517e-12
93,Random,94,0,3.7793605e-12
94,Random,95,0,3.5139383e-12
95,Random,96,0,3.468092e-12
96,Random,97,0,2.744724e-12
97,Random,98,0,3.157322e-12
98,Random,99,0,3.9548725e-12
99,Random,100,0,4.4994833e-12
100,Random,101,0,3.1517113e-12
101,Random,102,0,3.487094e-12
102,Random,103,0,2.9602384e-12
103,Random,104,0,2.8110752e-12
104,Random,105,0,3.3989226e-12
105,Random,106,0,3.4859808e-12
106,Random,107,0,2.8709704e-12
107,Random,108,0,3.8874537e-12
108,Random,109,0,3.884701e-12
109,Random,110,0,3.3855887e-12
110,Random,111,0,2.8364921e-12
111,Random,112,0,3.0847967e-12
112,Random,113,0,2.7873843e-12
113,Random,114,0,4.743906e-12
114,Random,115,0,3.1170771e-12
115,Random,116,0,4.4760237e-12
116,Random,117,0,3.5620003e-12
117,Random,118,0,3.9879038e-12
118,Random,119,0,3.6087828e-12
119,Random,120,0,4.2027297e-12
120,Random,121,0,2.5876642e-12
121,Random,122,0,1.97921e-12
122,Random,123,0,2.7977323e-12
123,Random,124,0,2.5506452e-12
124,Random,125,0,1.7388132e-12
125,Random,126,0,2.5128359e-12
126,Random,127,0,1.935209e-12
127,Random,128,0,2.780225e-12
128,Random,129,0,1.5405871e-12
129,Random,130,0,1.6084983e-12
130,Classification-optimal,1,86,11.999998
131,Classification-optimal,2,72,11.0
132,Classification-optimal,3,43,10.000001
133,Classification-optimal,4,38,8.999999
134,Classification-optimal,5,37,8.0
135,Classification-optimal,6,38,7.0
136,Classification-optimal,7,30,5.9999995
137,Classification-optimal,8,19,5.0
138,Classification-optimal,9,13,4.0000005
139,Classification-optimal,10,14,3.0000002
140,Classification-optimal,11,3,2.0000002
141,Classification-optimal,12,1,1.0
142,Classification-optimal,13,0,3.4955944e-10
143,Classification-optimal,14,0,9.523851e-10
144,Classification-optimal,15,0,2.3478056e-10
145,Classification-optimal,16,0,4.4536067e-10
146,Classification-optimal,17,0,7.624039e-11
147,Classification-optimal,18,0,4.735724e-11
148,Classification-optimal,19,0,3.234496e-11
149,Classification-optimal,20,0,4.6305782e-11
150,Classification-optimal,21,0,3.7336936e-11
151,Classification-optimal,22,0,1.9900142e-11
152,Classification-optimal,23,0,4.110294e-11
153,Classification-optimal,24,0,5.1080584e-11
154,Classification-optimal,25,0,3.4896017e-11
155,Classification-optimal,26,0,2.0721749e-11
156,Classification-optimal,27,0,8.146434e-12
157,Classification-optimal,28,0,9.355438e-12
158,Classification-optimal,29,0,2.015335e-11
159,Classification-optimal,30,0,1.2258143e-11
160,Classification-optimal,31,0,6.6859187e-12
161,Classification-optimal,32,0,5.710747e-12
162,Classification-optimal,33,0,6.672628e-12
163,Classification-optimal,34,0,4.3223567e-12
164,Classification-optimal,35,0,6.582513e-12
165,Classification-optimal,36,0,1.0497927e-11
166,Classification-optimal,37,0,6.8632942e-12
167,Classification-optimal,38,0,4.395074e-12
168,Classification-optimal,39,0,3.7399905e-12
169,Classification-optimal,40,0,5.4369096e-12
170,Classification-optimal,41,0,6.4204757e-12
171,Classification-optimal,42,0,5.11102e-12
172,Classification-optimal,43,0,4.8075623e-12
173,Classification-optimal,44,0,6.38723e-12
174,Classification-optimal,45,0,5.616681e-12
175,Classification-optimal,46,0,5.4410343e-12
176,Classification-optimal,47,0,5.2700977e-12
177,Classification-optimal,48,0,6.4788916e-12
178,Classification-optimal,49,0,5.4460087e-12
179,Classification-optimal,50,0,5.228279e-12
180,Classification-optimal,51,0,5.4178736e-12
181,Classification-optimal,52,0,6.625616e-12
182,Classification-optimal,53,0,4.4078803e-12
183,Classification-optimal,54,0,4.6737033e-12
184,Classification-optimal,55,0,6.9215337e-12
185,Classification-optimal,56,0,5.9905887e-12
186,Classification-optimal,57,0,6.238014e-12
187,Classification-optimal,58,0,6.7989746e-12
188,Classification-optimal,59,0,4.0257554e-12
189,Classification-optimal,60,0,4.2954637e-12
190,Classification-optimal,61,0,3.586961e-12
191,Classification-optimal,62,0,5.2557563e-12
192,Classification-optimal,63,0,5.096996e-12
193,Classification-optimal,64,0,4.6914994e-12
194,Classification-optimal,65,0,5.3827715e-12
195,Classification-optimal,66,0,5.5476027e-12
196,Classification-optimal,67,0,3.4735183e-12
197,Classification-optimal,68,0,4.1408283e-12
198,Classification-optimal,69,0,5.403283e-12
199,Classification-optimal,70,0,3.5781955e-12
200,Classification-optimal,71,0,4.156e-12
201,Classification-optimal,72,0,4.48103e-12
202,Classification-optimal,73,0,4.5549137e-12
203,Classification-optimal,74,0,5.232704e-12
204,Classification-optimal,75,0,6.0940753e-12
