,Sampling Type,Sample Size,Signal idx,class_error,rec_error,Analytic Reconstruction Error,Analytic Classification Error
0,Random,1,0,21.0,135.01877,7.0,20.073475
1,Random,1,1,24.5,159.64279,7.0,20.073475
2,Random,1,2,22.0,214.53186,7.0,20.073475
3,Random,1,3,20.0,191.31108,7.0,20.073475
4,Random,1,4,23.5,172.53473,7.0,20.073475
5,Random,1,5,22.0,151.8984,7.0,20.073475
6,Random,1,6,23.5,185.30008,7.0,20.073475
7,Random,1,7,24.0,152.97237,7.0,20.073475
8,Random,1,8,21.0,165.62776,7.0,20.073475
9,Random,1,9,23.5,193.66006,7.0,20.073475
10,Random,1,10,20.0,223.22223,7.0,20.073475
11,Random,1,11,22.5,231.37375,7.0,20.073475
12,Random,1,12,19.5,173.46686,7.0,20.073475
13,Random,1,13,19.5,165.37898,7.0,20.073475
14,Random,1,14,23.0,140.91022,7.0,20.073475
15,Random,1,15,20.0,156.79027,7.0,20.073475
16,Random,1,16,23.5,107.77967,7.0,20.073475
17,Random,1,17,19.5,183.56754,7.0,20.073475
18,Random,1,18,17.5,211.18713,7.0,20.073475
19,Random,1,19,19.5,142.58661,7.0,20.073475
20,Random,1,20,17.5,200.03064,7.0,20.073475
21,Random,1,21,23.5,143.90144,7.0,20.073475
22,Random,1,22,17.5,117.02298,7.0,20.073475
23,Random,1,23,20.0,132.5648,7.0,20.073475
24,Random,1,24,17.5,173.53679,7.0,20.073475
25,Random,1,25,21.5,201.6661,7.0,20.073475
26,Random,1,26,22.5,296.25513,7.0,20.073475
27,Random,1,27,17.5,502.2132,7.0,20.073475
28,Random,1,28,16.5,319.36853,7.0,20.073475
29,Random,1,29,16.5,293.99628,7.0,20.073475
30,Random,1,30,18.5,176.85939,7.0,20.073475
31,Random,1,31,15.0,223.34688,7.0,20.073475
32,Random,1,32,20.5,236.53918,7.0,20.073475
33,Random,1,33,22.5,281.80417,7.0,20.073475
34,Random,1,34,20.0,155.69925,7.0,20.073475
35,Random,1,35,20.0,123.74019,7.0,20.073475
36,Random,1,36,20.0,148.25096,7.0,20.073475
37,Random,1,37,22.0,184.17456,7.0,20.073475
38,Random,1,38,18.0,261.42395,7.0,20.073475
39,Random,1,39,18.5,235.69891,7.0,20.073475
40,Random,1,40,17.5,143.82426,7.0,20.073475
41,Random,1,41,17.5,152.93083,7.0,20.073475
42,Random,1,42,21.5,222.41743,7.0,20.073475
43,Random,1,43,20.0,129.06198,7.0,20.073475
44,Random,1,44,21.5,115.75007,7.0,20.073475
45,Random,1,45,18.0,129.53058,7.0,20.073475
46,Random,1,46,17.5,81.77432,7.0,20.073475
47,Random,1,47,18.5,91.991165,7.0,20.073475
48,Random,1,48,20.0,250.73337,7.0,20.073475
49,Random,1,49,21.5,197.34975,7.0,20.073475
50,Random,1,50,19.0,91.04933,7.0,20.073475
51,Random,1,51,18.5,81.85111,7.0,20.073475
52,Random,1,52,16.5,196.9609,7.0,20.073475
53,Random,1,53,20.0,292.2124,7.0,20.073475
54,Random,1,54,22.5,163.76488,7.0,20.073475
55,Random,1,55,21.5,86.15285,7.0,20.073475
56,Random,1,56,21.0,189.39127,7.0,20.073475
57,Random,1,57,17.5,210.68253,7.0,20.073475
58,Random,1,58,17.5,191.53964,7.0,20.073475
59,Random,1,59,17.0,192.43582,7.0,20.073475
60,Random,1,60,15.5,338.8207,7.0,20.073475
61,Random,1,61,17.5,389.44827,7.0,20.073475
62,Random,1,62,16.5,377.22003,7.0,20.073475
63,Random,1,63,17.0,256.46454,7.0,20.073475
64,Random,1,64,14.5,264.17535,7.0,20.073475
65,Random,1,65,17.5,140.5875,7.0,20.073475
66,Random,1,66,22.5,176.55153,7.0,20.073475
67,Random,1,67,21.0,64.16673,7.0,20.073475
68,Random,1,68,19.5,76.594124,7.0,20.073475
69,Random,1,69,20.5,97.36422,7.0,20.073475
70,Random,1,70,19.0,165.88602,7.0,20.073475
71,Random,1,71,22.0,41.214428,7.0,20.073475
72,Random,1,72,21.5,60.693848,7.0,20.073475
73,Random,1,73,19.5,79.75845,7.0,20.073475
74,Random,1,74,14.5,186.27524,7.0,20.073475
75,Random,1,75,15.0,288.84375,7.0,20.073475
76,Random,1,76,19.5,227.41269,7.0,20.073475
77,Random,1,77,16.0,425.30396,7.0,20.073475
78,Random,1,78,15.5,397.02985,7.0,20.073475
79,Random,1,79,17.5,238.7189,7.0,20.073475
80,Random,1,80,14.5,525.0304,7.0,20.073475
81,Random,1,81,19.5,426.09613,7.0,20.073475
82,Random,1,82,17.5,302.23587,7.0,20.073475
83,Random,1,83,13.5,613.514,7.0,20.073475
84,Random,1,84,14.5,657.2033,7.0,20.073475
85,Random,1,85,15.5,578.36,7.0,20.073475
86,Random,1,86,19.5,467.34717,7.0,20.073475
87,Random,1,87,18.0,262.91876,7.0,20.073475
88,Random,1,88,18.5,429.70825,7.0,20.073475
89,Random,1,89,14.5,509.60858,7.0,20.073475
90,Random,1,90,19.5,181.50758,7.0,20.073475
91,Random,1,91,17.5,333.27353,7.0,20.073475
92,Random,1,92,16.5,202.4368,7.0,20.073475
93,Random,1,93,23.5,201.82489,7.0,20.073475
94,Random,1,94,21.5,562.03345,7.0,20.073475
95,Random,2,0,24.0,146.69427,5.999999,17.14117
96,Random,2,1,16.5,178.61992,5.999999,17.14117
97,Random,2,2,17.0,215.46292,5.999999,17.14117
98,Random,2,3,17.0,192.6912,5.999999,17.14117
99,Random,2,4,16.5,172.8882,5.999999,17.14117
100,Random,2,5,15.5,168.80304,5.999999,17.14117
101,Random,2,6,17.5,165.14795,5.999999,17.14117
102,Random,2,7,19.0,160.2601,5.999999,17.14117
103,Random,2,8,19.0,159.83267,5.999999,17.14117
104,Random,2,9,16.5,178.37137,5.999999,17.14117
105,Random,2,10,14.0,203.27606,5.999999,17.14117
106,Random,2,11,19.5,191.9335,5.999999,17.14117
107,Random,2,12,17.5,168.5178,5.999999,17.14117
108,Random,2,13,16.5,172.89532,5.999999,17.14117
109,Random,2,14,21.0,156.51443,5.999999,17.14117
110,Random,2,15,21.0,168.20218,5.999999,17.14117
111,Random,2,16,17.5,115.2545,5.999999,17.14117
112,Random,2,17,16.5,149.29283,5.999999,17.14117
113,Random,2,18,19.5,181.7043,5.999999,17.14117
114,Random,2,19,13.5,139.31967,5.999999,17.14117
115,Random,2,20,18.5,161.51788,5.999999,17.14117
116,Random,2,21,19.5,146.81078,5.999999,17.14117
117,Random,2,22,22.5,130.04568,5.999999,17.14117
118,Random,2,23,17.0,138.79364,5.999999,17.14117
119,Random,2,24,15.5,155.85077,5.999999,17.14117
