,Sampling Type,Sample Size,Signal idx,class_error,rec_error,Analytic Reconstruction Error,Analytic Classification Error
0,Random,1,0,21.0,67.71624,7.0,18.823032
1,Random,1,1,14.0,81.17713,7.0,18.823032
2,Random,1,2,13.0,105.31971,7.0,18.823032
3,Random,1,3,16.5,97.87539,7.0,18.823032
4,Random,1,4,16.5,95.15907,7.0,18.823032
5,Random,1,5,15.0,83.7997,7.0,18.823032
6,Random,1,6,15.5,106.7404,7.0,18.823032
7,Random,1,7,21.5,142.89488,7.0,18.823032
8,Random,1,8,23.0,201.65736,7.0,18.823032
9,Random,1,9,14.5,128.24341,7.0,18.823032
10,Random,1,10,15.0,148.5066,7.0,18.823032
11,Random,1,11,18.5,170.94908,7.0,18.823032
12,Random,1,12,17.5,174.65074,7.0,18.823032
13,Random,1,13,12.5,127.19809,7.0,18.823032
14,Random,1,14,18.5,107.90195,7.0,18.823032
15,Random,1,15,18.5,119.42951,7.0,18.823032
16,Random,1,16,20.5,87.17271,7.0,18.823032
17,Random,1,17,19.5,140.87358,7.0,18.823032
18,Random,1,18,23.5,167.31563,7.0,18.823032
19,Random,1,19,25.5,110.30696,7.0,18.823032
20,Random,1,20,19.5,166.03242,7.0,18.823032
21,Random,1,21,17.5,63.64475,7.0,18.823032
22,Random,1,22,18.5,62.460438,7.0,18.823032
23,Random,1,23,25.0,109.48169,7.0,18.823032
24,Random,1,24,22.0,202.12997,7.0,18.823032
25,Random,1,25,18.5,220.5735,7.0,18.823032
26,Random,1,26,21.5,299.5228,7.0,18.823032
27,Random,1,27,16.0,510.91302,7.0,18.823032
28,Random,1,28,16.5,395.87177,7.0,18.823032
29,Random,1,29,15.5,359.88196,7.0,18.823032
30,Random,1,30,21.0,203.9718,7.0,18.823032
31,Random,1,31,17.5,184.73972,7.0,18.823032
32,Random,1,32,12.5,176.16927,7.0,18.823032
33,Random,1,33,21.5,396.50494,7.0,18.823032
34,Random,1,34,19.5,169.94206,7.0,18.823032
35,Random,1,35,26.0,177.2761,7.0,18.823032
36,Random,1,36,22.5,159.14928,7.0,18.823032
37,Random,1,37,19.5,180.58066,7.0,18.823032
38,Random,1,38,27.5,234.86597,7.0,18.823032
39,Random,1,39,21.5,222.7995,7.0,18.823032
40,Random,1,40,20.0,185.5704,7.0,18.823032
41,Random,1,41,19.0,185.78082,7.0,18.823032
42,Random,1,42,20.5,241.35999,7.0,18.823032
43,Random,1,43,17.5,101.514084,7.0,18.823032
44,Random,1,44,18.0,72.10882,7.0,18.823032
45,Random,1,45,19.5,65.94003,7.0,18.823032
46,Random,1,46,21.5,74.584335,7.0,18.823032
47,Random,1,47,20.0,93.692566,7.0,18.823032
48,Random,1,48,22.0,264.44998,7.0,18.823032
49,Random,1,49,24.5,237.75363,7.0,18.823032
50,Random,1,50,23.5,194.02515,7.0,18.823032
51,Random,1,51,21.5,184.88817,7.0,18.823032
52,Random,1,52,19.5,223.03659,7.0,18.823032
53,Random,1,53,17.5,331.4052,7.0,18.823032
54,Random,1,54,22.0,175.17479,7.0,18.823032
55,Random,1,55,21.5,77.34368,7.0,18.823032
56,Random,1,56,23.5,160.34045,7.0,18.823032
57,Random,1,57,25.0,218.85284,7.0,18.823032
58,Random,1,58,26.5,201.30457,7.0,18.823032
59,Random,1,59,21.5,172.87,7.0,18.823032
60,Random,1,60,17.5,379.35397,7.0,18.823032
61,Random,1,61,25.0,396.38147,7.0,18.823032
62,Random,1,62,21.5,422.43,7.0,18.823032
63,Random,1,63,21.5,296.0,7.0,18.823032
64,Random,1,64,16.0,327.6552,7.0,18.823032
65,Random,1,65,20.0,130.39885,7.0,18.823032
66,Random,1,66,19.0,157.01791,7.0,18.823032
67,Random,1,67,20.0,99.95862,7.0,18.823032
68,Random,1,68,22.5,127.34798,7.0,18.823032
69,Random,1,69,27.0,163.04904,7.0,18.823032
70,Random,1,70,19.5,255.07071,7.0,18.823032
71,Random,1,71,21.0,111.13538,7.0,18.823032
72,Random,1,72,18.5,89.15966,7.0,18.823032
73,Random,1,73,18.5,149.91904,7.0,18.823032
74,Random,1,74,13.5,302.793,7.0,18.823032
75,Random,1,75,18.0,385.68347,7.0,18.823032
76,Random,1,76,29.0,303.13947,7.0,18.823032
77,Random,1,77,17.5,534.21185,7.0,18.823032
78,Random,1,78,17.5,462.51715,7.0,18.823032
79,Random,1,79,21.5,302.01,7.0,18.823032
80,Random,1,80,17.0,637.93567,7.0,18.823032
81,Random,1,81,24.5,498.0626,7.0,18.823032
82,Random,1,82,17.5,472.68207,7.0,18.823032
83,Random,1,83,15.5,861.5342,7.0,18.823032
84,Random,1,84,15.5,869.3015,7.0,18.823032
85,Random,1,85,17.5,701.1426,7.0,18.823032
86,Random,1,86,18.5,588.71844,7.0,18.823032
87,Random,1,87,16.0,334.63434,7.0,18.823032
88,Random,1,88,22.0,485.73004,7.0,18.823032
89,Random,1,89,17.0,752.6975,7.0,18.823032
90,Random,1,90,17.5,268.89935,7.0,18.823032
91,Random,1,91,15.5,406.87384,7.0,18.823032
92,Random,1,92,17.0,327.78235,7.0,18.823032
93,Random,1,93,25.0,315.84357,7.0,18.823032
94,Random,1,94,20.5,635.51135,7.0,18.823032
95,Random,2,0,23.0,68.23927,6.0,15.745302
96,Random,2,1,16.0,66.47567,6.0,15.745302
97,Random,2,2,18.0,120.32312,6.0,15.745302
98,Random,2,3,10.5,107.40098,6.0,15.745302
99,Random,2,4,20.5,100.072174,6.0,15.745302
100,Random,2,5,15.0,88.37504,6.0,15.745302
101,Random,2,6,14.5,106.305084,6.0,15.745302
102,Random,2,7,23.5,144.22205,6.0,15.745302
103,Random,2,8,22.0,215.70337,6.0,15.745302
104,Random,2,9,17.5,128.932,6.0,15.745302
105,Random,2,10,13.0,159.75075,6.0,15.745302
106,Random,2,11,18.5,187.77911,6.0,15.745302
107,Random,2,12,21.5,175.75308,6.0,15.745302
108,Random,2,13,18.5,131.89932,6.0,15.745302
109,Random,2,14,15.5,139.49394,6.0,15.745302
110,Random,2,15,13.5,122.44536,6.0,15.745302
111,Random,2,16,25.5,106.63812,6.0,15.745302
112,Random,2,17,16.5,141.40318,6.0,15.745302
113,Random,2,18,22.5,166.13066,6.0,15.745302
114,Random,2,19,23.5,125.64443,6.0,15.745302
115,Random,2,20,17.5,173.17023,6.0,15.745302
116,Random,2,21,21.5,67.69782,6.0,15.745302
117,Random,2,22,15.5,63.27983,6.0,15.745302
118,Random,2,23,25.0,109.59793,6.0,15.745302
119,Random,2,24,14.5,201.16779,6.0,15.745302
120,Random,2,25,21.5,212.59015,6.0,15.745302
121,Random,2,26,20.5,294.63,6.0,15.745302
122,Random,2,27,17.0,493.79993,6.0,15.745302
123,Random,2,28,16.5,365.94644,6.0,15.745302
124,Random,2,29,15.5,325.35657,6.0,15.745302
125,Random,2,30,21.0,199.53401,6.0,15.745302
126,Random,2,31,14.5,182.85464,6.0,15.745302
127,Random,2,32,16.5,170.38034,6.0,15.745302
128,Random,2,33,10.5,294.5234,6.0,15.745302
129,Random,2,34,20.5,163.12692,6.0,15.745302
130,Random,2,35,22.0,187.31477,6.0,15.745302
131,Random,2,36,21.5,161.24918,6.0,15.745302
132,Random,2,37,15.5,154.8876,6.0,15.745302
133,Random,2,38,19.5,232.60098,6.0,15.745302
134,Random,2,39,19.5,222.67642,6.0,15.745302
135,Random,2,40,19.0,162.41833,6.0,15.745302
136,Random,2,41,17.0,183.95944,6.0,15.745302
137,Random,2,42,14.0,225.11679,6.0,15.745302
138,Random,2,43,17.5,102.50661,6.0,15.745302
139,Random,2,44,19.0,59.945488,6.0,15.745302
140,Random,2,45,19.5,66.87192,6.0,15.745302
141,Random,2,46,20.5,75.098206,6.0,15.745302
142,Random,2,47,17.0,94.98219,6.0,15.745302
143,Random,2,48,18.5,262.98602,6.0,15.745302
144,Random,2,49,16.5,223.5377,6.0,15.745302
145,Random,2,50,19.5,197.80296,6.0,15.745302
146,Random,2,51,21.5,204.88556,6.0,15.745302
147,Random,2,52,19.5,217.64813,6.0,15.745302
148,Random,2,53,13.5,262.9583,6.0,15.745302
149,Random,2,54,19.0,165.5329,6.0,15.745302
150,Random,2,55,21.5,73.43452,6.0,15.745302
151,Random,2,56,15.5,149.92952,6.0,15.745302
152,Random,2,57,16.0,202.99081,6.0,15.745302
153,Random,2,58,18.5,199.73737,6.0,15.745302
154,Random,2,59,12.0,158.88715,6.0,15.745302
155,Random,2,60,15.5,376.15488,6.0,15.745302
156,Random,2,61,20.0,388.75357,6.0,15.745302
157,Random,2,62,13.0,400.48227,6.0,15.745302
158,Random,2,63,20.0,301.32806,6.0,15.745302
159,Random,2,64,18.0,320.93542,6.0,15.745302
160,Random,2,65,19.0,123.2331,6.0,15.745302
161,Random,2,66,21.0,153.44969,6.0,15.745302
