,Sampling Type,Sample Size,class_error,rec_error,Analytic Reconstruction Error,Analytic Classification Error,graph_id,num_conv_layers
0,Random,1,233.0,6395.973,6271.9995,235.7066,0,1
1,Random,2,244.0,6261.0757,6143.9995,226.35466,0,1
2,Random,3,223.0,6164.2837,6016.0005,219.28957,0,1
3,Random,4,199.0,6044.7686,5888.0,213.23074,0,1
4,Random,5,197.0,5925.463,5760.0,205.6961,0,1
5,Random,6,198.0,5785.723,5632.0,200.17998,0,1
6,Random,7,197.0,5631.0693,5504.0,194.01102,0,1
7,Random,8,187.0,5502.6963,5376.0005,187.62706,0,1
8,Random,9,187.0,5378.173,5248.0,183.42752,0,1
9,Random,10,188.0,5266.1006,5120.0,179.03203,0,1
10,Random,11,186.0,5111.889,4992.0005,174.80293,0,1
11,Random,12,166.0,4972.1123,4864.0,170.04832,0,1
12,Random,13,164.0,4820.1025,4736.0,166.48871,0,1
13,Random,14,160.0,4689.109,4608.0,162.81367,0,1
14,Random,15,159.0,4576.197,4480.0,159.03069,0,1
15,Random,16,149.0,4404.112,4352.0005,154.60378,0,1
16,Random,17,147.0,4262.359,4223.9995,151.29109,0,1
17,Random,18,138.0,4154.9053,4096.0,147.40266,0,1
18,Random,19,128.0,3996.7202,3968.0,142.77348,0,1
19,Random,20,130.0,3895.62,3840.0,138.86867,0,1
20,Random,21,129.0,3758.2598,3712.0,135.09708,0,1
21,Random,22,123.0,3632.699,3584.0,131.64493,0,1
22,Random,23,123.0,3490.8286,3456.0,127.83846,0,1
23,Random,24,118.0,3373.4028,3328.0,124.35915,0,1
24,Random,25,122.0,3253.4043,3200.0002,120.64992,0,1
25,Random,26,112.0,3122.0806,3072.0002,117.44504,0,1
26,Random,27,107.0,2989.3196,2944.0,114.138985,0,1
27,Random,28,108.0,2851.4075,2816.0002,110.58511,0,1
28,Random,29,108.0,2686.543,2688.0,107.45229,0,1
29,Random,30,113.0,2559.5598,2560.0,104.05268,0,1
30,Random,31,108.0,2438.483,2432.0002,100.37358,0,1
31,Random,32,100.0,2332.3657,2304.0002,96.872406,0,1
32,Random,33,104.0,2180.8374,2176.0,93.16623,0,1
33,Random,34,95.0,2044.1047,2047.9998,89.76871,0,1
34,Random,35,97.0,1935.7474,1919.9998,86.03118,0,1
35,Random,36,96.0,1807.9098,1791.9996,82.18965,0,1
36,Random,37,94.0,1668.1162,1663.9995,78.61851,0,1
37,Random,38,90.0,1554.3278,1535.9996,75.13087,0,1
38,Random,39,87.0,1422.9565,1407.9994,71.10276,0,1
39,Random,40,83.0,1301.735,1279.9995,67.41602,0,1
40,Random,41,80.0,1144.354,1151.9991,63.154305,0,1
41,Random,42,74.0,1032.3107,1023.9993,58.58963,0,1
42,Random,43,61.0,914.20667,895.9995,53.79264,0,1
43,Random,44,62.0,773.7949,767.9989,49.279716,0,1
44,Random,45,47.0,634.3155,639.99896,44.223488,0,1
45,Random,46,50.0,516.003,511.99884,38.933598,0,1
46,Random,47,31.0,383.0103,383.9983,32.143852,0,1
47,Random,48,30.0,260.0266,256.00098,25.167015,0,1
48,Random,49,29.0,141.07727,128.00089,15.265589,0,1
49,Random,50,0.0,3.1569135e-07,-0.04432106,0.042389065,0,1
50,Random,51,0.0,2.316926e-07,0.010416985,0.052157905,0,1
51,Random,52,0.0,2.2793012e-07,-0.0055274963,0.051382583,0,1
52,Random,53,0.0,8.028817e-08,0.0043387413,0.041022897,0,1
53,Random,54,0.0,8.2921005e-08,0.0038263798,0.03626112,0,1
54,Random,55,0.0,1.4121055e-07,0.0007622242,0.027450863,0,1
55,Random,56,0.0,8.139478e-08,0.0014486313,0.034630477,0,1
56,Random,57,0.0,2.3616496e-07,0.0006532669,0.061022796,0,1
57,Random,58,0.0,7.7503316e-08,0.0022592545,0.067727596,0,1
58,Random,59,0.0,2.106586e-07,0.001390934,0.023923641,0,1
59,Random,60,0.0,1.5842499e-08,0.0016098022,0.077924386,0,1
60,Random,61,0.0,1.6888487e-08,0.0012893677,0.010359183,0,1
61,Classification-optimal,1,243.0,6364.029,6272.0,230.98474,0,1
62,Classification-optimal,2,214.0,6224.7114,6144.0005,219.40424,0,1
63,Classification-optimal,3,219.0,6084.855,6015.9995,210.89537,0,1
64,Classification-optimal,4,218.0,5975.75,5888.0,203.50145,0,1
65,Classification-optimal,5,210.0,5865.559,5760.0,196.83955,0,1
66,Classification-optimal,6,196.0,5736.7427,5632.0005,190.73424,0,1
