,Sampling Type,Sample Size,class_error,rec_error,Analytic Reconstruction Error,Analytic Classification Error,graph_id,num_conv_layers
0,Random,1,173.0,6239.902,6271.9995,233.1437,0,1
1,Random,2,261.0,6132.0117,6144.0,222.33455,0,1
2,Random,3,218.0,6012.5063,6016.0005,217.00978,0,1
3,Random,4,249.0,5913.4126,5888.0,210.245,0,1
4,Random,5,146.0,5762.1665,5760.0,203.0189,0,1
5,Random,6,131.0,5628.488,5632.0,197.11368,0,1
6,Random,7,160.0,5480.702,5504.0,189.23396,0,1
7,Random,8,185.0,5330.299,5375.9995,182.9698,0,1
8,Random,9,189.0,5181.7373,5248.0,180.29204,0,1
9,Random,10,182.0,5047.268,5120.0,177.81429,0,1
10,Random,11,191.0,4928.3438,4992.0,175.37381,0,1
11,Random,12,211.0,4794.602,4863.9995,172.62479,0,1
12,Random,13,232.0,4676.4424,4736.0,170.24355,0,1
13,Random,14,191.0,4571.9565,4608.0,164.96646,0,1
14,Random,15,163.0,4448.576,4480.0,160.35443,0,1
15,Random,16,180.0,4313.249,4352.0,157.55533,0,1
16,Random,17,198.0,4195.881,4224.0,153.58525,0,1
17,Random,18,214.0,4044.5564,4096.0,149.94916,0,1
18,Random,19,176.0,3925.79,3968.0,144.99132,0,1
19,Random,20,184.0,3778.0615,3840.0002,141.3369,0,1
20,Random,21,161.0,3653.9597,3712.0,136.99167,0,1
21,Random,22,146.0,3535.1135,3584.0002,133.84338,0,1
22,Random,23,146.0,3400.3167,3456.0005,131.86412,0,1
23,Random,24,156.0,3264.6038,3328.0005,129.95447,0,1
24,Random,25,151.0,3133.0317,3200.0,127.56717,0,1
25,Random,26,130.0,3013.8286,3072.0002,124.28461,0,1
26,Random,27,117.0,2893.4727,2944.0002,118.77341,0,1
27,Random,28,114.0,2754.2427,2816.0005,116.58253,0,1
28,Random,29,102.0,2621.5518,2688.0002,111.75802,0,1
29,Random,30,101.0,2457.891,2560.0,105.84835,0,1
30,Random,31,94.0,2327.9888,2432.0002,103.42779,0,1
31,Random,32,94.0,2211.2534,2304.0002,99.88613,0,1
32,Random,33,88.0,2093.8464,2176.0002,96.9801,0,1
33,Random,34,90.0,1968.485,2048.0002,93.81144,0,1
34,Random,35,91.0,1843.119,1920.0005,88.417175,0,1
35,Random,36,74.0,1724.194,1792.0002,81.38831,0,1
36,Random,37,82.0,1602.595,1664.0004,78.03973,0,1
37,Random,38,79.0,1467.7748,1536.0002,75.736496,0,1
38,Random,39,79.0,1362.3873,1408.0004,72.98691,0,1
39,Random,40,73.0,1248.201,1280.0006,68.84919,0,1
40,Random,41,71.0,1145.0876,1152.0007,65.658775,0,1
41,Random,42,64.0,1011.1984,1024.001,62.290836,0,1
42,Random,43,63.0,889.80273,896.0009,59.770515,0,1
43,Random,44,64.0,768.06964,768.0006,55.046432,0,1
44,Random,45,49.0,617.14594,640.00024,50.597153,0,1
45,Random,46,52.0,486.41245,512.0011,39.060173,0,1
46,Random,47,56.0,363.7126,384.00168,33.316048,0,1
47,Random,48,30.0,239.3868,256.0017,25.954458,0,1
48,Random,49,0.0,109.08034,128.00511,17.300669,0,1
